timestamp,model,power,phase,response_type,input_tokens,output_tokens,cost_usd
2026-04-26T09:44:57.044585,x-ai/grok-4.1-fast,unknown,unknown,unknown,1566,659,0.00062065
2026-04-26T09:44:57.085647,x-ai/grok-4.1-fast,unknown,unknown,unknown,1883,952,0.00083055
2026-04-26T09:45:02.959264,x-ai/grok-4.1-fast,unknown,unknown,unknown,1577,733,0.0006588
2026-04-26T09:45:06.179840,x-ai/grok-4.1-fast,unknown,unknown,unknown,1535,1249,0.00090945
2026-04-26T09:45:07.807730,x-ai/grok-4.1-fast,unknown,unknown,unknown,1573,620,0.0006015
2026-04-26T09:45:08.315040,x-ai/grok-4.1-fast,unknown,unknown,unknown,1679,1852,0.00123975
2026-04-26T09:45:17.635620,x-ai/grok-4.1-fast,unknown,unknown,unknown,2161,906,0.00086315
2026-04-26T09:45:23.189954,x-ai/grok-4.1-fast,unknown,unknown,unknown,1838,2345,0.00151805
2026-04-26T09:45:30.302927,x-ai/grok-4.1-fast,unknown,unknown,unknown,1536,1528,0.00104915
2026-04-26T09:45:33.036990,x-ai/grok-4.1-fast,unknown,unknown,unknown,1951,3547,0.0021406
2026-04-26T09:45:37.167473,x-ai/grok-4.1-fast,unknown,unknown,unknown,1771,1178,0.0009201
2026-04-26T09:45:39.130434,x-ai/grok-4.1-fast,unknown,unknown,unknown,1759,3258,0.0019577
2026-04-26T09:45:39.239449,x-ai/grok-4.1-fast,unknown,unknown,unknown,1609,2320,0.00145975
2026-04-26T09:45:40.277134,x-ai/grok-4.1-fast,unknown,unknown,unknown,1506,2544,0.00155115
2026-04-26T09:45:49.064082,x-ai/grok-4.1-fast,unknown,unknown,unknown,1625,777,0.00069145
2026-04-26T09:45:53.625403,x-ai/grok-4.1-fast,unknown,unknown,unknown,1858,1257,0.00097805
2026-04-26T09:45:58.379873,x-ai/grok-4.1-fast,unknown,unknown,unknown,1779,1472,0.00106975
2026-04-26T09:45:59.741409,x-ai/grok-4.1-fast,unknown,unknown,unknown,2680,3461,0.00224445
2026-04-26T09:46:12.156010,x-ai/grok-4.1-fast,unknown,unknown,unknown,1937,1878,0.0013033
2026-04-26T09:46:19.359295,x-ai/grok-4.1-fast,unknown,unknown,unknown,1901,2634,0.00167515
2026-04-26T09:46:23.158121,x-ai/grok-4.1-fast,unknown,unknown,unknown,1711,2845,0.00174265
2026-04-26T09:46:25.697419,x-ai/grok-4.1-fast,unknown,unknown,unknown,1931,2571,0.00164965
2026-04-26T09:46:26.943955,x-ai/grok-4.1-fast,unknown,unknown,unknown,2364,2043,0.00147225
2026-04-26T09:46:33.497019,x-ai/grok-4.1-fast,unknown,unknown,unknown,3202,3242,0.0022383
2026-04-26T09:46:34.746494,x-ai/grok-4.1-fast,unknown,unknown,unknown,2046,1708,0.0012401
2026-04-26T09:46:35.127328,x-ai/grok-4.1-fast,unknown,unknown,unknown,1702,967,0.00080185
2026-04-26T09:46:36.926375,x-ai/grok-4.1-fast,unknown,unknown,unknown,1833,1654,0.0011705
2026-04-26T09:46:47.443722,x-ai/grok-4.1-fast,unknown,unknown,unknown,2369,1380,0.00114175
2026-04-26T09:46:53.926844,x-ai/grok-4.1-fast,unknown,unknown,unknown,2298,2741,0.00180805
2026-04-26T09:46:56.172994,x-ai/grok-4.1-fast,unknown,unknown,unknown,1759,1477,0.0010672
2026-04-26T09:46:59.145959,x-ai/grok-4.1-fast,unknown,unknown,unknown,1994,1662,0.00120655
2026-04-26T09:47:06.757025,x-ai/grok-4.1-fast,unknown,unknown,unknown,1988,1543,0.00114705
2026-04-26T09:47:15.193291,x-ai/grok-4.1-fast,unknown,unknown,unknown,2203,1923,0.00138005
2026-04-26T09:47:16.098003,x-ai/grok-4.1-fast,unknown,unknown,unknown,1476,2070,0.00130815
2026-04-26T09:47:21.398414,x-ai/grok-4.1-fast,unknown,unknown,unknown,3158,3199,0.00220905
