timestamp,model,power,phase,response_type,input_tokens,output_tokens,cost_usd
2026-04-21T23:03:55.464422,openai/gpt-oss-120b,TURKEY,S1901M,initialization,2330,169,0.00035687
2026-04-21T23:04:02.116975,x-ai/grok-4.1-fast,TURKEY,S1901M,initialization,2682,1409,0.00121885
2026-04-21T23:04:05.963658,anthropic/claude-haiku-4.5,TURKEY,S1901M,initialization,2489,1618,0.010579
2026-04-21T23:04:06.886630,google/gemini-2.5-flash-lite,TURKEY,S1901M,initialization,1996,4525,0.0020096
2026-04-21T23:04:30.774502,qwen/qwen3.6-plus,TURKEY,S1901M,initialization,2290,2172,0.00497965
2026-04-21T23:04:31.503381,qwen/qwen3.5-27b,TURKEY,S1901M,initialization,2211,3828,0.006402825
2026-04-21T23:05:02.638540,google/gemma-4-31b-it,TURKEY,S1901M,initialization,2740,833,0.0009645
2026-04-21T23:05:08.802695,openai/gpt-oss-120b,TURKEY,S1901M,negotiation,3571,631,0.00091425
2026-04-21T23:05:12.680615,x-ai/grok-4.1-fast,TURKEY,S1901M,negotiation,3801,1260,0.00136695
2026-04-21T23:05:13.501665,anthropic/claude-haiku-4.5,TURKEY,S1901M,negotiation,3961,1076,0.009341
2026-04-21T23:05:16.475947,google/gemini-2.5-flash-lite,TURKEY,S1901M,negotiation,3175,4555,0.0021395
2026-04-21T23:05:40.023400,google/gemma-4-31b-it,TURKEY,S1901M,negotiation,3977,977,0.00088827
2026-04-21T23:05:44.969937,qwen/qwen3.5-27b,TURKEY,S1901M,negotiation,3350,3418,0.00828738
2026-04-21T23:05:57.283357,qwen/qwen3.6-plus,TURKEY,S1901M,negotiation,3403,2937,0.006833125
2026-04-21T23:05:59.724619,openai/gpt-oss-120b,TURKEY,S1901M,negotiation,4537,331,0.00087915
2026-04-21T23:06:11.752611,anthropic/claude-haiku-4.5,TURKEY,S1901M,negotiation,4882,1358,0.011672
2026-04-21T23:06:12.970081,google/gemini-2.5-flash-lite,TURKEY,S1901M,negotiation,4160,4216,0.0021024
2026-04-21T23:06:12.977745,x-ai/grok-4.1-fast,TURKEY,S1901M,negotiation,4684,1282,0.00155575
2026-04-21T23:06:44.986531,qwen/qwen3.5-27b,TURKEY,S1901M,negotiation,4157,3848,0.0104823
2026-04-21T23:06:50.438337,qwen/qwen3.6-plus,TURKEY,S1901M,negotiation,4336,2882,0.0070291
2026-04-21T23:08:05.913776,google/gemma-4-31b-it,TURKEY,S1901M,negotiation,4780,1242,0.001166
2026-04-21T23:08:13.268237,openai/gpt-oss-120b,TURKEY,S1901M,negotiation_diary_raw,3857,649,0.000966454
2026-04-21T23:08:13.914578,google/gemini-2.5-flash-lite,TURKEY,S1901M,negotiation_diary_raw,3600,2423,0.0013292
2026-04-21T23:08:22.325060,x-ai/grok-4.1-fast,TURKEY,S1901M,negotiation_diary_raw,4314,1702,0.00169175
2026-04-21T23:08:29.481888,anthropic/claude-haiku-4.5,TURKEY,S1901M,negotiation_diary_raw,4330,2455,0.016605
2026-04-21T23:08:42.952172,google/gemma-4-31b-it,TURKEY,S1901M,negotiation_diary_raw,4082,1015,0.00097748
2026-04-21T23:08:54.159394,qwen/qwen3.5-27b,TURKEY,S1901M,negotiation_diary_raw,3473,4206,0.01002267
2026-04-21T23:09:00.241745,qwen/qwen3.6-plus,TURKEY,S1901M,negotiation_diary_raw,3741,2947,0.006962475
2026-04-21T23:09:04.486527,openai/gpt-oss-120b,TURKEY,S1901M,order,5647,389,0.00108045
2026-04-21T23:09:08.578510,google/gemini-2.5-flash-lite,TURKEY,S1901M,order,4972,1934,0.0012708
2026-04-21T23:09:13.057202,anthropic/claude-haiku-4.5,TURKEY,S1901M,order,6443,1377,0.013328
2026-04-21T23:09:26.909483,qwen/qwen3.6-plus,TURKEY,S1901M,order,5428,1370,0.0044356
2026-04-21T23:09:46.532932,x-ai/grok-4.1-fast,TURKEY,S1901M,order,6278,4209,0.00333805
2026-04-21T23:09:50.028870,google/gemma-4-31b-it,TURKEY,S1901M,order,6347,2822,0.0026804
2026-04-21T23:11:39.684816,qwen/qwen3.5-27b,TURKEY,S1901M,order,5247,16000,0.0399741
2026-04-21T23:11:41.865692,openai/gpt-oss-120b,TURKEY,S1901M,phase_result_diary,2956,247,0.0004191
2026-04-21T23:11:47.490550,google/gemini-2.5-flash-lite,TURKEY,S1901M,phase_result_diary,2650,2091,0.0011014
2026-04-21T23:11:50.122613,anthropic/claude-haiku-4.5,TURKEY,S1901M,phase_result_diary,3456,869,0.007801
2026-04-21T23:11:53.262308,x-ai/grok-4.1-fast,TURKEY,S1901M,phase_result_diary,3431,1427,0.00137765
2026-04-21T23:12:22.966797,qwen/qwen3.5-27b,TURKEY,S1901M,phase_result_diary,2772,4263,0.00719082
2026-04-21T23:12:30.570556,qwen/qwen3.6-plus,TURKEY,S1901M,phase_result_diary,2935,2762,0.006339775
2026-04-21T23:12:42.751119,google/gemma-4-31b-it,TURKEY,S1901M,phase_result_diary,3293,873,0.00081022
2026-04-21T23:12:56.123428,anthropic/claude-haiku-4.5,TURKEY,F1901M,negotiation,5110,1237,0.011295
2026-04-21T23:12:57.541528,openai/gpt-oss-120b,TURKEY,F1901M,negotiation,4522,388,0.0003231
2026-04-21T23:12:58.699762,google/gemini-2.5-flash-lite,TURKEY,F1901M,negotiation,4166,4383,0.0021698
2026-04-21T23:13:00.665187,x-ai/grok-4.1-fast,TURKEY,F1901M,negotiation,5228,1659,0.00185305
2026-04-21T23:13:19.606700,qwen/qwen3.5-27b,TURKEY,F1901M,negotiation,4257,3307,0.005989035
2026-04-21T23:13:23.836210,google/gemma-4-31b-it,TURKEY,F1901M,negotiation,4899,2056,0.0020078
2026-04-21T23:13:26.297311,qwen/qwen3.6-plus,TURKEY,F1901M,negotiation,4521,2294,0.005942625
2026-04-21T23:13:36.045564,openai/gpt-oss-120b,TURKEY,F1901M,negotiation,5149,657,0.00069993
2026-04-21T23:13:40.966466,anthropic/claude-haiku-4.5,TURKEY,F1901M,negotiation,5821,1411,0.012876
2026-04-21T23:13:46.132341,x-ai/grok-4.1-fast,TURKEY,F1901M,negotiation,6026,2176,0.00227115
2026-04-21T23:14:04.947786,qwen/qwen3.5-27b,TURKEY,F1901M,negotiation,4625,3109,0.0088491
2026-04-21T23:14:10.841668,google/gemma-4-31b-it,TURKEY,F1901M,negotiation,5399,1038,0.00109631
2026-04-21T23:14:18.384001,qwen/qwen3.6-plus,TURKEY,F1901M,negotiation,4970,2821,0.0071162
2026-04-21T23:15:33.328230,google/gemini-2.5-flash-lite,TURKEY,F1901M,negotiation,4517,4415,0.0022177
2026-04-21T23:15:48.718503,google/gemini-2.5-flash-lite,TURKEY,F1901M,negotiation_diary_raw,3559,4628,0.0022071
2026-04-21T23:15:53.533803,x-ai/grok-4.1-fast,TURKEY,F1901M,negotiation_diary_raw,5146,1938,0.00197615
2026-04-21T23:15:57.850281,openai/gpt-oss-120b,TURKEY,F1901M,negotiation_diary_raw,4321,600,0.00036605
2026-04-21T23:16:04.110420,anthropic/claude-haiku-4.5,TURKEY,F1901M,negotiation_diary_raw,5039,3365,0.021864
2026-04-21T23:16:22.934020,qwen/qwen3.5-27b,TURKEY,F1901M,negotiation_diary_raw,3434,3932,0.0094203
2026-04-21T23:16:32.627863,qwen/qwen3.6-plus,TURKEY,F1901M,negotiation_diary_raw,3859,3207,0.007507825
2026-04-21T23:16:46.877002,google/gemma-4-31b-it,TURKEY,F1901M,negotiation_diary_raw,4326,1382,0.00108754
