timestamp,model,power,phase,response_type,input_tokens,output_tokens,cost_usd
2026-05-08T17:08:46.905929,x-ai/grok-4.1-fast,TURKEY,S1901M,initialization,932,612,0.00047035
2026-05-08T17:08:51.991392,deepseek/deepseek-v4-pro,TURKEY,S1901M,initialization,831,405,0.00277329
2026-05-08T17:09:02.892991,openai/gpt-5.4,TURKEY,S1901M,initialization,814,912,0.015715
2026-05-08T17:09:04.779835,qwen/qwen3.5-27b,TURKEY,S1901M,initialization,866,3359,0.0083214
2026-05-08T17:09:13.280961,anthropic/claude-opus-4.6,TURKEY,S1901M,initialization,991,1437,0.04088
2026-05-08T17:09:13.613680,qwen/qwen3.6-plus,TURKEY,S1901M,initialization,873,1908,0.004004325
2026-05-08T17:14:18.479393,google/gemma-4-31b-it,TURKEY,S1901M,initialization,829,2267,0.00102286
2026-05-08T17:14:36.964494,x-ai/grok-4.1-fast,TURKEY,S1901M,negotiation,2039,1059,0.00091525
2026-05-08T17:14:41.547351,anthropic/claude-opus-4.6,TURKEY,S1901M,negotiation,2355,922,0.034825
2026-05-08T17:14:44.667153,openai/gpt-5.4,TURKEY,S1901M,negotiation,1971,1116,0.0216675
2026-05-08T17:14:46.265011,deepseek/deepseek-v4-pro,TURKEY,S1901M,negotiation,1900,940,0.006426
2026-05-08T17:15:03.390910,qwen/qwen3.6-plus,TURKEY,S1901M,negotiation,2200,2417,0.00542815
2026-05-08T17:15:44.733264,qwen/qwen3.5-27b,TURKEY,S1901M,negotiation,2172,4079,0.01117012
2026-05-08T17:17:12.010558,google/gemma-4-31b-it,TURKEY,S1901M,negotiation,1900,858,0.0006092
2026-05-08T17:17:37.346870,qwen/qwen3.5-27b,TURKEY,S1901M,negotiation,2891,1930,0.00494937
2026-05-08T17:17:38.502787,x-ai/grok-4.1-fast,TURKEY,S1901M,negotiation,2792,1726,0.00139935
2026-05-08T17:17:47.599239,openai/gpt-5.4,TURKEY,S1901M,negotiation,2779,1427,0.0283525
2026-05-08T17:17:50.176020,qwen/qwen3.6-plus,TURKEY,S1901M,negotiation,2952,2023,0.00490425
2026-05-08T17:18:05.672360,anthropic/claude-opus-4.6,TURKEY,S1901M,negotiation,3313,2216,0.071965
